"name","name","readgroup","basecallid","software","basecalldate","version"
"PARGTM","TARGET_40_PARGTM_01A_01R",595,216,"BUSTARD","2011-02-24","1.8.0"
"PARGTM","TARGET_40_PARGTM_01A_01R",641,229,"BUSTARD","2011-03-22","1.8.0"
"PARJXU","TARGET_40_PARJXU_01A_01R",594,216,"BUSTARD","2011-02-24","1.8.0"
"PARJXU","TARGET_40_PARJXU_01A_01R",644,229,"BUSTARD","2011-03-22","1.8.0"
"PARKAF","TARGET_40_PARKAF_01A_01R",643,229,"BUSTARD","2011-03-22","1.8.0"
"PAMHLF","TARGET_40_PAMHLF_01A_01R_2ndPortion",611,217,"BUSTARD","2011-03-04","1.8.0"
"PAMHLF","TARGET_40_PAMHLF_01A_01R_2ndPortion",618,218,"BUSTARD","2011-03-04","1.8.0"
"PANVJJ","TARGET_40_PANVJJ_01A_01R",610,217,"BUSTARD","2011-03-04","1.8.0"
"PANVJJ","TARGET_40_PANVJJ_01A_01R",617,218,"BUSTARD","2011-03-04","1.8.0"
"PANVJJ","TARGET_40_PANVJJ_01A_01R",881,321,"BUSTARD","2012-03-12","1.9.0"
"PAMHLF","TARGET_40_PAMHLF_01A_01R_1stPortion",609,217,"BUSTARD","2011-03-04","1.8.0"
"PAMHLF","TARGET_40_PAMHLF_01A_01R_1stPortion",616,218,"BUSTARD","2011-03-04","1.8.0"
"PASRNE","TARGET_40_PASRNE_01A_01R",608,217,"BUSTARD","2011-03-04","1.8.0"
"PASRNE","TARGET_40_PASRNE_01A_01R",615,218,"BUSTARD","2011-03-04","1.8.0"
"PASRNE","TARGET_40_PASRNE_01A_01R",880,321,"BUSTARD","2012-03-12","1.9.0"
"PATJVI","TARGET_40_PATJVI_01A_01R",607,217,"BUSTARD","2011-03-04","1.8.0"
"PATJVI","TARGET_40_PATJVI_01A_01R",614,218,"BUSTARD","2011-03-04","1.8.0"
"PATJVI","TARGET_40_PATJVI_01A_01R",878,310,"BUSTARD","2012-02-19","1.9.0"
"PAMRHD","TARGET_40_PAMRHD_01A_01R",606,217,"BUSTARD","2011-03-04","1.8.0"
"PAMRHD","TARGET_40_PAMRHD_01A_01R",613,218,"BUSTARD","2011-03-04","1.8.0"
"PAMRHD","TARGET_40_PAMRHD_01A_01R",882,321,"BUSTARD","2012-03-12","1.9.0"
"PASYUK","TARGET_40_PASYUK_01A_01R",605,217,"BUSTARD","2011-03-04","1.8.0"
"PASYUK","TARGET_40_PASYUK_01A_01R",612,218,"BUSTARD","2011-03-04","1.8.0"
"PASYUK","TARGET_40_PASYUK_01A_01R",879,310,"BUSTARD","2012-02-19","1.9.0"
"PAMHLF","TARGET_40_PAMHLF_01A_02D_2ndPortion",624,221,"BUSTARD","2011-03-11","1.8.0"
"PAMHLF","TARGET_40_PAMHLF_01A_02D_2ndPortion",623,221,"BUSTARD","2011-03-11","1.8.0"
"PASRNE","TARGET_40_PASRNE_01A_01D",622,221,"BUSTARD","2011-03-11","1.8.0"
"PASRNE","TARGET_40_PASRNE_01A_01D",621,221,"BUSTARD","2011-03-11","1.8.0"
"PATJVI","TARGET_40_PATJVI_01A_01D",620,221,"BUSTARD","2011-03-11","1.8.0"
"PATJVI","TARGET_40_PATJVI_01A_01D",619,221,"BUSTARD","2011-03-11","1.8.0"
"PAMRHD","TARGET_40_PAMRHD_01A_01D",640,225,"BUSTARD","2011-03-12","1.8.0"
"PAMRHD","TARGET_40_PAMRHD_01A_01D",633,227,"BUSTARD","2011-03-12","1.8.0"
"PASYUK","TARGET_40_PASYUK_01A_01D",639,225,"BUSTARD","2011-03-12","1.8.0"
"PASYUK","TARGET_40_PASYUK_01A_01D",632,227,"BUSTARD","2011-03-12","1.8.0"
"PATAWV","TARGET_40_PATAWV_01A_01D",638,225,"BUSTARD","2011-03-12","1.8.0"
"PATAWV","TARGET_40_PATAWV_01A_01D",631,227,"BUSTARD","2011-03-12","1.8.0"
"PAKXLD","TARGET_40_PAKXLD_01A_01D",637,225,"BUSTARD","2011-03-12","1.8.0"
"PAKXLD","TARGET_40_PAKXLD_01A_01D",630,227,"BUSTARD","2011-03-12","1.8.0"
"PAMEKS","TARGET_40_PAMEKS_01A_01D",636,225,"BUSTARD","2011-03-12","1.8.0"
"PAMEKS","TARGET_40_PAMEKS_01A_01D",629,227,"BUSTARD","2011-03-12","1.8.0"
"PAMEKS","TARGET_40_PAMEKS_01A_01D",681,239,"BUSTARD","2011-04-20","1.8.0"
"PAMLKS","TARGET_40_PAMLKS_01A_01D",635,225,"BUSTARD","2011-03-12","1.8.0"
"PAMLKS","TARGET_40_PAMLKS_01A_01D",628,227,"BUSTARD","2011-03-12","1.8.0"
"PAMLKS","TARGET_40_PAMLKS_01A_01D",899,323,"BUSTARD","2012-04-11","1.9.4"
"PARDAX","TARGET_40_PARDAX_01A_01D",634,225,"BUSTARD","2011-03-12","1.8.0"
"PARDAX","TARGET_40_PARDAX_01A_01D",627,227,"BUSTARD","2011-03-12","1.8.0"
"PARFTG","TARGET_40_PARFTG_01A_01D",647,229,"BUSTARD","2011-03-22","1.8.0"
"PARFTG","TARGET_40_PARFTG_01A_01D",646,229,"BUSTARD","2011-03-22","1.8.0"
"PAMHLF","TARGET_40_PAMHLF_10A_01D",645,229,"BUSTARD","2011-03-22","1.8.0"
"PAMHLF","TARGET_40_PAMHLF_10A_01D",901,327,"BUSTARD","2012-04-17","1.8.0"
"PAMEKS","TARGET_40_PAMEKS_10A_01D",654,228,"BUSTARD","2011-03-19","1.8.0"
"PAMLKS","TARGET_40_PAMLKS_10A_01D",653,228,"BUSTARD","2011-03-19","1.8.0"
"PAMLKS","TARGET_40_PAMLKS_10A_01D",898,323,"BUSTARD","2012-04-11","1.9.4"
"PARDAX","TARGET_40_PARDAX_10A_01D",652,228,"BUSTARD","2011-03-19","1.8.0"
"PARFTG","TARGET_40_PARFTG_10A_01D",651,228,"BUSTARD","2011-03-19","1.8.0"
"PARGTM","TARGET_40_PARGTM_10A_01D",650,228,"BUSTARD","2011-03-19","1.8.0"
"PARGTM","TARGET_40_PARGTM_10A_01D",904,327,"BUSTARD","2012-04-17","1.8.0"
"PARJXU","TARGET_40_PARJXU_10A_01D",649,228,"BUSTARD","2011-03-19","1.8.0"
"PARJXU","TARGET_40_PARJXU_10A_01D",902,327,"BUSTARD","2012-04-17","1.8.0"
"PARKAF","TARGET_40_PARKAF_10A_01D",648,228,"BUSTARD","2011-03-19","1.8.0"
"PATAWV","TARGET_40_PATAWV_01A_01R",668,235,"BUSTARD","2011-04-03","1.8.0"
"PATAWV","TARGET_40_PATAWV_01A_01R",671,236,"BUSTARD","2011-04-05","1.8.0"
"PANMIG","TARGET_40_PANMIG_01A_01R",663,234,"BUSTARD","2011-03-29","1.8.0"
"PANMIG","TARGET_40_PANMIG_01A_01R",662,234,"BUSTARD","2011-03-29","1.8.0"
"PANVJJ","TARGET_40_PANVJJ_01A_01WX",667,235,"BUSTARD","2011-04-03","1.8.0"
"PANVJJ","TARGET_40_PANVJJ_01A_01WX",672,236,"BUSTARD","2011-04-05","1.8.0"
"PANMIG","TARGET_40_PANMIG_01A_01WX",673,236,"BUSTARD","2011-04-05","1.8.0"
"PANMIG","TARGET_40_PANMIG_01A_01WX",682,238,"BUSTARD","2011-04-16","1.8.0"
"PASRNE","TARGET_40_PASRNE_10A_01WX",666,235,"BUSTARD","2011-04-03","1.8.0"
"PATJVI","TARGET_40_PATJVI_10A_01WX",665,235,"BUSTARD","2011-04-03","1.8.0"
"PATJVI","TARGET_40_PATJVI_10A_01WX",900,327,"BUSTARD","2012-04-17","1.8.0"
"PASYUK","TARGET_40_PASYUK_10A_01WX",664,235,"BUSTARD","2011-04-03","1.8.0"
"PASYUK","TARGET_40_PASYUK_10A_01WX",905,327,"BUSTARD","2012-04-17","1.8.0"
"PATAWV","TARGET_40_PATAWV_10A_01WX",674,236,"BUSTARD","2011-04-05","1.8.0"
"PATAWV","TARGET_40_PATAWV_10A_01WX",906,327,"BUSTARD","2012-04-17","1.8.0"
"PAKXLD","TARGET_40_PAKXLD_10A_01D",661,230,"BUSTARD","2011-03-25","1.8.0"
"PARGTM","TARGET_40_PARGTM_01A_01D",660,230,"BUSTARD","2011-03-25","1.8.0"
"PARGTM","TARGET_40_PARGTM_01A_01D",659,230,"BUSTARD","2011-03-25","1.8.0"
"PARJXU","TARGET_40_PARJXU_01A_01D",658,230,"BUSTARD","2011-03-25","1.8.0"
"PARJXU","TARGET_40_PARJXU_01A_01D",657,230,"BUSTARD","2011-03-25","1.8.0"
"PARJXU","TARGET_40_PARJXU_01A_01D",910,333,"BUSTARD","2012-05-07","1.9.4"
"PARKAF","TARGET_40_PARKAF_01A_01D",656,230,"BUSTARD","2011-03-25","1.8.0"
"PARKAF","TARGET_40_PARKAF_01A_01D",655,230,"BUSTARD","2011-03-25","1.8.0"
"PANVJJ","TARGET_40_PANVJJ_10A_01D",670,235,"BUSTARD","2011-04-03","1.8.0"
"PANMIG","TARGET_40_PANMIG_10A_01WX",669,235,"BUSTARD","2011-04-03","1.8.0"
"PAMHLF","TARGET_40_PAMHLF_01A_01W.X_1stPortion",685,238,"BUSTARD","2011-04-16","1.8.0"
"PAMHLF","TARGET_40_PAMHLF_01A_01W.X_1stPortion",684,238,"BUSTARD","2011-04-16","1.8.0"
"PAMRHD","TARGET_40_PAMRHD_10A_01WX",683,238,"BUSTARD","2011-04-16","1.8.0"
"PAMRHD","TARGET_40_PAMRHD_10A_01WX",908,333,"BUSTARD","2012-05-07","1.9.4"
"PAKZZK","TARGET_40_PAKZZK_01A_01WX",690,243,"BUSTARD","2011-05-20","1.8.0"
"PAKZZK","TARGET_40_PAKZZK_01A_01WX",704,245,"BUSTARD","2011-05-31","1.8.0"
"PANMIG","TARGET_40_PANMIG_01A_02R",699,244,"BUSTARD","2011-05-20","1.8.0"
"PANMIG","TARGET_40_PANMIG_01A_02R",716,252,"BUSTARD","2011-06-17","1.8.0"
"PANMIG","TARGET_40_PANMIG_01A_02D",692,243,"BUSTARD","2011-05-20","1.8.0"
"PANMIG","TARGET_40_PANMIG_01A_02D",706,245,"BUSTARD","2011-05-31","1.8.0"
"PANGRW","TARGET_40_PANGRW_01A_02D",691,243,"BUSTARD","2011-05-20","1.8.0"
"PANGRW","TARGET_40_PANGRW_01A_02D",705,245,"BUSTARD","2011-05-31","1.8.0"
"PANGRW","TARGET_40_PANGRW_01A_02R",698,244,"BUSTARD","2011-05-20","1.8.0"
"PANGRW","TARGET_40_PANGRW_01A_02R",742,258,"BUSTARD","2011-07-09","1.9.0"
"PAKZZK","TARGET_40_PAKZZK_01A_01R",697,244,"BUSTARD","2011-05-20","1.8.0"
"PAKZZK","TARGET_40_PAKZZK_01A_01R",725,249,"BUSTARD","2011-06-11","1.8.0"
"PANZZJ","TARGET_40_PANZZJ_01A_01WX",689,243,"BUSTARD","2011-05-20","1.8.0"
"PANZZJ","TARGET_40_PANZZJ_01A_01WX",703,245,"BUSTARD","2011-05-31","1.8.0"
"PANZZJ","TARGET_40_PANZZJ_01A_01R",696,244,"BUSTARD","2011-05-20","1.8.0"
"PANZZJ","TARGET_40_PANZZJ_01A_01R",726,249,"BUSTARD","2011-06-11","1.8.0"
"PARBGW","TARGET_40_PARBGW_01A_01WX",688,243,"BUSTARD","2011-05-20","1.8.0"
"PARBGW","TARGET_40_PARBGW_01A_01WX",702,245,"BUSTARD","2011-05-31","1.8.0"
"PARBGW","TARGET_40_PARBGW_01A_01R",695,244,"BUSTARD","2011-05-20","1.8.0"
"PARBGW","TARGET_40_PARBGW_01A_01R",727,249,"BUSTARD","2011-06-11","1.8.0"
"PANZHX","TARGET_40_PANZHX_01A_01R",694,244,"BUSTARD","2011-05-20","1.8.0"
"PANZHX","TARGET_40_PANZHX_01A_01R",728,249,"BUSTARD","2011-06-11","1.8.0"
"PASUUH","TARGET_40_PASUUH_01A_01D",687,243,"BUSTARD","2011-05-20","1.8.0"
"PASUUH","TARGET_40_PASUUH_01A_01D",701,245,"BUSTARD","2011-05-31","1.8.0"
"PATEEM","TARGET_40_PATEEM_01A_01WX",686,243,"BUSTARD","2011-05-20","1.8.0"
"PATEEM","TARGET_40_PATEEM_01A_01WX",700,245,"BUSTARD","2011-05-31","1.8.0"
"PAPKWD","TARGET_40_PAPKWD_01A_01R",693,244,"BUSTARD","2011-05-20","1.8.0"
"PAPKWD","TARGET_40_PAPKWD_01A_01R",729,249,"BUSTARD","2011-06-11","1.8.0"
"PATEEM","TARGET_40_PATEEM_01A_01WX",709,248,"BUSTARD","2011-06-04","1.8.0"
"PATEEM","TARGET_40_PATEEM_01A_01WX",719,252,"BUSTARD","2011-06-17","1.8.0"
"PAPWWC","TARGET_40_PAPWWC_01A_01R",724,251,"BUSTARD","2011-06-13","1.8.0"
"PAPWWC","TARGET_40_PAPWWC_01A_01R",741,256,"BUSTARD","2011-06-27","1.9.0"
"PAPWWC","TARGET_40_PAPWWC_01A_01R",751,261,"BUSTARD","2011-07-18","1.9.0"
"PAMTCM","TARGET_40_PAMTCM_01A_01D",711,248,"BUSTARD","2011-06-04","1.8.0"
"PAMTCM","TARGET_40_PAMTCM_01A_01D",710,248,"BUSTARD","2011-06-04","1.8.0"
"PAMTCM","TARGET_40_PAMTCM_01A_01R",723,251,"BUSTARD","2011-06-13","1.8.0"
"PAMTCM","TARGET_40_PAMTCM_01A_01R",740,256,"BUSTARD","2011-06-27","1.9.0"
"PAMTCM","TARGET_40_PAMTCM_01A_01R",749,261,"BUSTARD","2011-07-18","1.9.0"
"PAPWWC","TARGET_40_PAPWWC_01A_01D",713,248,"BUSTARD","2011-06-04","1.8.0"
"PAPWWC","TARGET_40_PAPWWC_01A_01D",712,248,"BUSTARD","2011-06-04","1.8.0"
