"name","name","readgroup","basecallid","software","basecalldate","version"
"PALHRL","TARGET_40_PALHRL_01A_01D",501,170,"BUSTARD","2010-10-01","1.8.0"
"PALHRL","TARGET_40_PALHRL_01A_01D",514,181,"BUSTARD","2010-10-17","1.8.0"
"PAKFVX","TARGET_40_PAKFVX_01A_01D",500,170,"BUSTARD","2010-10-01","1.8.0"
"PAKFVX","TARGET_40_PAKFVX_01A_01D",513,181,"BUSTARD","2010-10-17","1.8.0"
"PALFYN","TARGET_40_PALFYN_01A_01D",499,170,"BUSTARD","2010-10-01","1.8.0"
"PALFYN","TARGET_40_PALFYN_01A_01D",512,181,"BUSTARD","2010-10-17","1.8.0"
"PALKDP","TARGET_40_PALKDP_01A_01D",508,177,"BUSTARD","2010-10-03","1.8.0"
"PALKDP","TARGET_40_PALKDP_01A_01D",511,181,"BUSTARD","2010-10-17","1.8.0"
"PALKGN","TARGET_40_PALKGN_01A_01D",507,177,"BUSTARD","2010-10-03","1.8.0"
"PALKGN","TARGET_40_PALKGN_01A_01D",675,239,"BUSTARD","2011-04-20","1.8.0"
"PALHRL","TARGET_40_PALHRL_10A_01D",506,177,"BUSTARD","2010-10-03","1.8.0"
"PAKFVX","TARGET_40_PAKFVX_10A_01D",505,177,"BUSTARD","2010-10-03","1.8.0"
"PALFYN","TARGET_40_PALFYN_10A_01D",504,177,"BUSTARD","2010-10-03","1.8.0"
"PALKDP","TARGET_40_PALKDP_10A_01D",503,177,"BUSTARD","2010-10-03","1.8.0"
"PALKGN","TARGET_40_PALKGN_10A_01D",502,177,"BUSTARD","2010-10-03","1.8.0"
"PALKGN","TARGET_40_PALKGN_10A_01D",516,192,"BUSTARD","2010-11-01","1.8.0"
"PALHRL","TARGET_40_PALHRL_01A_01R",510,180,"BUSTARD","2010-10-17","1.8.0"
"PALHRL","TARGET_40_PALHRL_01A_01R",560,208,"BUSTARD","2011-01-07","1.8.0"
"PAKFVX","TARGET_40_PAKFVX_01A_01R",498,170,"BUSTARD","2010-10-01","1.8.0"
"PAKFVX","TARGET_40_PAKFVX_01A_01R",517,192,"BUSTARD","2010-11-01","1.8.0"
"PALFYN","TARGET_40_PALFYN_01A_01R",497,170,"BUSTARD","2010-10-01","1.8.0"
"PALFYN","TARGET_40_PALFYN_01A_01R",518,192,"BUSTARD","2010-11-01","1.8.0"
"PALFYN","TARGET_40_PALFYN_01A_01R",561,208,"BUSTARD","2011-01-07","1.8.0"
"PALKDP","TARGET_40_PALKDP_01A_01R",496,170,"BUSTARD","2010-10-01","1.8.0"
"PALKDP","TARGET_40_PALKDP_01A_01R",519,192,"BUSTARD","2010-11-01","1.8.0"
"PALKGN","TARGET_40_PALKGN_01A_01R",509,180,"BUSTARD","2010-10-17","1.8.0"
"PALKGN","TARGET_40_PALKGN_01A_01R",515,198,"BUSTARD","2010-11-11","1.8.0"
"PAMHYN","TARGET_40_PAMHYN_10A_01D",526,185,"BUSTARD","2010-11-05","1.8.0"
"PAMJXS","TARGET_40_PAMJXS_10A_01D",525,185,"BUSTARD","2010-11-05","1.8.0"
"PAMYYJ","TARGET_40_PAMYYJ_10A_01D",524,185,"BUSTARD","2010-11-05","1.8.0"
"PAMYYJ","TARGET_40_PAMYYJ_10A_01D",801,295,"BUSTARD","2011-11-26","1.9.0"
"PANPUM","TARGET_40_PANPUM_10A_01D",523,185,"BUSTARD","2010-11-05","1.8.0"
"PANSEN","TARGET_40_PANSEN_10A_01D",522,185,"BUSTARD","2010-11-05","1.8.0"
"PANXSC","TARGET_40_PANXSC_10A_01D",521,185,"BUSTARD","2010-11-05","1.8.0"
"PANXSC","TARGET_40_PANXSC_10A_01D",796,292,"BUSTARD","2011-11-08","1.9.0"
"PALWWX","TARGET_40_PALWWX_10A_01D",520,185,"BUSTARD","2010-11-05","1.8.0"
"PALWWX","TARGET_40_PALWWX_10A_01D",782,283,"BUSTARD","2011-09-10","1.9.0"
"PAMHYN","TARGET_40_PAMHYN_01A_01R",533,197,"BUSTARD","2010-11-06","1.8.0"
"PAMHYN","TARGET_40_PAMHYN_01A_01R",538,199,"BUSTARD","2010-11-15","1.8.0"
"PAMJXS","TARGET_40_PAMJXS_01A_01R",532,197,"BUSTARD","2010-11-06","1.8.0"
"PAMJXS","TARGET_40_PAMJXS_01A_01R",537,199,"BUSTARD","2010-11-15","1.8.0"
"PAMYYJ","TARGET_40_PAMYYJ_01A_01R",531,197,"BUSTARD","2010-11-06","1.8.0"
"PAMYYJ","TARGET_40_PAMYYJ_01A_01R",536,199,"BUSTARD","2010-11-15","1.8.0"
"PANPUM","TARGET_40_PANPUM_01A_01R",530,197,"BUSTARD","2010-11-06","1.8.0"
"PANPUM","TARGET_40_PANPUM_01A_01R",535,199,"BUSTARD","2010-11-15","1.8.0"
"PANSEN","TARGET_40_PANSEN_01A_01R",529,197,"BUSTARD","2010-11-06","1.8.0"
"PANSEN","TARGET_40_PANSEN_01A_01R",534,199,"BUSTARD","2010-11-15","1.8.0"
"PANXSC","TARGET_40_PANXSC_01A_01R",29369,197,"BUSTARD","2010-11-06","1.8.0"
"PANXSC","TARGET_40_PANXSC_01A_01R",29374,203,"BUSTARD","2010-12-21","1.8.0"
"PALWWX","TARGET_40_PALWWX_01A_01R",29370,197,"BUSTARD","2010-11-06","1.8.0"
"PALWWX","TARGET_40_PALWWX_01A_01R",29373,203,"BUSTARD","2010-12-21","1.8.0"
"PALZGU","TARGET_40_PALZGU_01A_01R",539,199,"BUSTARD","2010-11-15","1.8.0"
"PALZGU","TARGET_40_PALZGU_01A_01R",557,203,"BUSTARD","2010-12-21","1.8.0"
"PALZGU","TARGET_40_PALZGU_10A_01D",540,199,"BUSTARD","2010-11-15","1.8.0"
"PALZGU","TARGET_40_PALZGU_10A_01D",792,289,"BUSTARD","2011-11-01","1.9.0"
"PAMJXS","TARGET_40_PAMJXS_01A_01D",554,200,"BUSTARD","2010-11-27","1.8.0"
"PAMJXS","TARGET_40_PAMJXS_01A_01D",547,201,"BUSTARD","2010-11-26","1.8.0"
"PAMYYJ","TARGET_40_PAMYYJ_01A_01D",553,200,"BUSTARD","2010-11-27","1.8.0"
"PAMYYJ","TARGET_40_PAMYYJ_01A_01D",546,201,"BUSTARD","2010-11-26","1.8.0"
"PANPUM","TARGET_40_PANPUM_01A_01D",552,200,"BUSTARD","2010-11-27","1.8.0"
"PANPUM","TARGET_40_PANPUM_01A_01D",545,201,"BUSTARD","2010-11-26","1.8.0"
"PANSEN","TARGET_40_PANSEN_01A_01D",551,200,"BUSTARD","2010-11-27","1.8.0"
"PANSEN","TARGET_40_PANSEN_01A_01D",544,201,"BUSTARD","2010-11-26","1.8.0"
"PANSEN","TARGET_40_PANSEN_01A_01D",677,239,"BUSTARD","2011-04-20","1.8.0"
"PANSEN","TARGET_40_PANSEN_01A_01D",798,292,"BUSTARD","2011-11-08","1.9.0"
"PANXSC","TARGET_40_PANXSC_01A_01D",550,200,"BUSTARD","2010-11-27","1.8.0"
"PANXSC","TARGET_40_PANXSC_01A_01D",543,201,"BUSTARD","2010-11-26","1.8.0"
"PANXSC","TARGET_40_PANXSC_01A_01D",678,239,"BUSTARD","2011-04-20","1.8.0"
"PANXSC","TARGET_40_PANXSC_01A_01D",797,292,"BUSTARD","2011-11-08","1.9.0"
"PALWWX","TARGET_40_PALWWX_01A_01D",549,200,"BUSTARD","2010-11-27","1.8.0"
"PALWWX","TARGET_40_PALWWX_01A_01D",542,201,"BUSTARD","2010-11-26","1.8.0"
"PALWWX","TARGET_40_PALWWX_01A_01D",679,239,"BUSTARD","2011-04-20","1.8.0"
"PALWWX","TARGET_40_PALWWX_01A_01D",800,292,"BUSTARD","2011-11-08","1.9.0"
"PALZGU","TARGET_40_PALZGU_01A_01D",548,200,"BUSTARD","2010-11-27","1.8.0"
"PALZGU","TARGET_40_PALZGU_01A_01D",541,201,"BUSTARD","2010-11-26","1.8.0"
"PALZGU","TARGET_40_PALZGU_01A_01D",680,239,"BUSTARD","2011-04-20","1.8.0"
"PALZGU","TARGET_40_PALZGU_01A_01D",791,289,"BUSTARD","2011-11-01","1.9.0"
"PAMHYN","TARGET_40_PAMHYN_01A_01D",556,202,"BUSTARD","2010-12-06","1.8.0"
"PAMHYN","TARGET_40_PAMHYN_01A_01D",555,202,"BUSTARD","2010-12-06","1.8.0"
"PAMHYN","TARGET_40_PAMHYN_01A_01D",676,239,"BUSTARD","2011-04-20","1.8.0"
"PAPNVD","TARGET_40_PAPNVD_01A_01R",575,212,"BUSTARD","2011-02-04","1.8.0"
"PAPXGT","TARGET_40_PAPXGT_01A_01R",581,212,"BUSTARD","2011-02-04","1.8.0"
"PAPXGT","TARGET_40_PAPXGT_01A_01R",580,212,"BUSTARD","2011-02-04","1.8.0"
"PASEBY","TARGET_40_PASEBY_01A_01R",574,211,"BUSTARD","2011-01-27","1.8.0"
"PASEBY","TARGET_40_PASEBY_01A_01R",571,211,"BUSTARD","2011-01-27","1.8.0"
"PASFCV","TARGET_40_PASFCV_01A_01R",573,211,"BUSTARD","2011-01-27","1.8.0"
"PASFCV","TARGET_40_PASFCV_01A_01R",570,211,"BUSTARD","2011-01-27","1.8.0"
"PASKZZ","TARGET_40_PASKZZ_01A_01R",579,212,"BUSTARD","2011-02-04","1.8.0"
"PASKZZ","TARGET_40_PASKZZ_01A_01R",578,212,"BUSTARD","2011-02-04","1.8.0"
"PASSLM","TARGET_40_PASSLM_01A_01R",572,211,"BUSTARD","2011-01-27","1.8.0"
"PASSLM","TARGET_40_PASSLM_01A_01R",569,211,"BUSTARD","2011-01-27","1.8.0"
"PASEFS","TARGET_40_PASEFS_01A_01R",577,212,"BUSTARD","2011-02-04","1.8.0"
"PASEFS","TARGET_40_PASEFS_01A_01R",576,212,"BUSTARD","2011-02-04","1.8.0"
"PASEBY","TARGET_40_PASEBY_10A_01D",568,209,"BUSTARD","2011-01-24","1.8.0"
"PASEBY","TARGET_40_PASEBY_10A_01D",794,289,"BUSTARD","2011-11-01","1.9.0"
"PAPNVD","TARGET_40_PAPNVD_10A_01D",567,209,"BUSTARD","2011-01-24","1.8.0"
"PAPNVD","TARGET_40_PAPNVD_10A_01D",804,296,"BUSTARD","2011-11-04","1.9.0"
"PASKZZ","TARGET_40_PASKZZ_10A_01D",566,209,"BUSTARD","2011-01-24","1.8.0"
"PASKZZ","TARGET_40_PASKZZ_10A_01D",789,285,"BUSTARD","2011-10-13","1.9.0"
"PAPXGT","TARGET_40_PAPXGT_10A_01D",565,209,"BUSTARD","2011-01-24","1.8.0"
"PAPXGT","TARGET_40_PAPXGT_10A_01D",783,283,"BUSTARD","2011-09-10","1.9.0"
"PAPXGT","TARGET_40_PAPXGT_10A_01D",793,289,"BUSTARD","2011-11-01","1.9.0"
"PASSLM","TARGET_40_PASSLM_10A_01D",564,209,"BUSTARD","2011-01-24","1.8.0"
"PASSLM","TARGET_40_PASSLM_10A_01D",795,289,"BUSTARD","2011-11-01","1.9.0"
"PASEFS","TARGET_40_PASEFS_10A_01D",563,209,"BUSTARD","2011-01-24","1.8.0"
"PASEFS","TARGET_40_PASEFS_10A_01D",790,285,"BUSTARD","2011-10-13","1.9.0"
"PASFCV","TARGET_40_PASFCV_10A_01D",562,209,"BUSTARD","2011-01-24","1.8.0"
"PASFCV","TARGET_40_PASFCV_10A_01D",784,285,"BUSTARD","2011-10-13","1.9.0"
"PASFCV","TARGET_40_PASFCV_01A_01D",587,213,"BUSTARD","2011-02-19","1.8.0"
"PASFCV","TARGET_40_PASFCV_01A_01D",586,213,"BUSTARD","2011-02-19","1.8.0"
"PASKZZ","TARGET_40_PASKZZ_01A_01D",585,213,"BUSTARD","2011-02-19","1.8.0"
"PASKZZ","TARGET_40_PASKZZ_01A_01D",584,213,"BUSTARD","2011-02-19","1.8.0"
"PASSLM","TARGET_40_PASSLM_01A_01D",583,213,"BUSTARD","2011-02-19","1.8.0"
"PASSLM","TARGET_40_PASSLM_01A_01D",582,213,"BUSTARD","2011-02-19","1.8.0"
"PAPNVD","TARGET_40_PAPNVD_01A_01D",593,214,"BUSTARD","2011-02-19","1.8.0"
"PAPNVD","TARGET_40_PAPNVD_01A_01D",592,214,"BUSTARD","2011-02-19","1.8.0"
"PAPXGT","TARGET_40_PAPXGT_01A_01D",591,214,"BUSTARD","2011-02-19","1.8.0"
"PAPXGT","TARGET_40_PAPXGT_01A_01D",590,214,"BUSTARD","2011-02-19","1.8.0"
"PASEBY","TARGET_40_PASEBY_01A_01D",589,214,"BUSTARD","2011-02-19","1.8.0"
"PASEBY","TARGET_40_PASEBY_01A_01D",588,214,"BUSTARD","2011-02-19","1.8.0"
"PASEFS","TARGET_40_PASEFS_01A_01D",604,215,"BUSTARD","2011-02-22","1.8.0"
"PASEFS","TARGET_40_PASEFS_01A_01D",603,215,"BUSTARD","2011-02-22","1.8.0"
"PAKXLD","TARGET_40_PAKXLD_01A_01R",29378,215,"BUSTARD","2011-02-22","1.8.0"
"PAKXLD","TARGET_40_PAKXLD_01A_01R",600,216,"BUSTARD","2011-02-24","1.8.0"
"PAMEKS","TARGET_40_PAMEKS_01A_01R",29377,215,"BUSTARD","2011-02-22","1.8.0"
"PAMEKS","TARGET_40_PAMEKS_01A_01R",599,216,"BUSTARD","2011-02-24","1.8.0"
"PAMLKS","TARGET_40_PAMLKS_01A_01R",598,216,"BUSTARD","2011-02-24","1.8.0"
"PAMLKS","TARGET_40_PAMLKS_01A_01R",625,219,"BUSTARD","2011-03-11","1.8.0"
"PAMLKS","TARGET_40_PAMLKS_01A_01R",883,321,"BUSTARD","2012-03-12","1.9.0"
"PARDAX","TARGET_40_PARDAX_01A_01R",597,216,"BUSTARD","2011-02-24","1.8.0"
"PARDAX","TARGET_40_PARDAX_01A_01R",626,219,"BUSTARD","2011-03-11","1.8.0"
"PARFTG","TARGET_40_PARFTG_01A_01R",596,216,"BUSTARD","2011-02-24","1.8.0"
"PARFTG","TARGET_40_PARFTG_01A_01R",642,229,"BUSTARD","2011-03-22","1.8.0"
